Amp #,Total Readout,Total Readout Uncertainty,Mean Readout (Per Pixel),Standard Deviation (Per Pixel),Standard Error in the Pixel Mean,Variance (Per Pixel)
1,542786.3,16465.522778558105,1.0352827,22.740005,0.03140549236022588,517.10785
2,566929.1,17948.84774238459,1.0813315,24.788578,0.034234710201996976,614.4736
3,591904.44,19826.622280406886,1.1289681,27.381912,0.037816280899823924,749.7691
4,832153.06,88960.07662653812,1.587206,122.85991,0.16967788052852273,15094.558
5,760939.8,77995.19826581918,1.4513775,107.71667,0.1487640347782501,11602.881
6,748924.3,69806.29406978888,1.4284598,96.407234,0.13314493955571916,9294.3545
7,684851.4,18228.780544726476,1.3062503,25.175184,0.034768639649823144,633.7899
8,834662.2,80442.72685491841,1.5919918,111.09687,0.153432325086438,12342.515
9,831978.0,21306.02501130648,1.5868721,29.425068,0.04063801767598434,865.8346
10,883857.7,20819.44163323076,1.6858248,28.753063,0.03970993353506233,826.73865
11,970524.8,21957.314550953113,1.8511292,30.324543,0.04188025388899443,919.5779
12,919824.56,21139.22791288651,1.7544261,29.19471,0.04031987745835592,852.33105
13,974400.0,21972.788036063295,1.8585205,30.345913,0.04190976721966418,920.87445
14,1102089.8,23088.853891139293,2.1020694,31.887276,0.0440384939024721,1016.79834
15,1130115.0,23518.22791119964,2.1555233,32.48027,0.04485745985259941,1054.968
16,1103783.2,23561.460861743126,2.1052995,32.539978,0.04493992016171098,1058.8502
17,1079040.0,21136.87871633417,2.0581055,29.191465,0.04031539672152361,852.14166
18,1009607.9,21833.584674924787,1.9256742,30.153664,0.041644257879113744,909.2434
19,1037735.9,21728.131851908616,1.9793241,30.008026,0.04144312258130763,900.4816
20,1113180.2,61697.01672644626,2.1232228,85.20777,0.11767772050179721,7260.3643
21,1162502.4,72773.7008226686,2.2172973,100.505424,0.13880481876882286,10101.341
22,1136547.2,50848.60106229743,2.1677918,70.22537,0.09698600971660123,4931.603
23,1011038.4,20562.16110710962,1.9284027,28.397741,0.039219209875315894,806.4317
24,999457.6,24752.261826891638,1.9063141,34.184555,0.0472111927545388,1168.5839
25,967608.0,21212.49770988317,1.8455658,29.2959,0.04045962850548395,858.24976
26,891402.25,19641.38101975499,1.7002149,27.126081,0.03746296123457907,735.8243
27,813305.3,19077.496507389085,1.5512568,26.347319,0.036387436880853816,694.1812
28,737104.5,17837.113822413663,1.4059153,24.634266,0.034021594662501646,606.84705
29,699623.0,18164.663084915213,1.334425,25.086634,0.03464634530051272,629.3392
30,696559.75,58163.99636414977,1.3285823,80.32843,0.11093901894407228,6452.6567
31,903287.8,99385.36069767927,1.7228848,137.25793,0.18956253184829572,18839.74
32,817485.56,20275.008081619213,1.55923,28.001163,0.038671508944738794,784.0652
