Filename,Total Readout,Mean Readout (Per Pixel),Standard Deviation (Per Pixel),Standard Error in the Pixel Mean,Variance (Per Pixel)
iLocater_lab_20260406_0001_hxrgproc.fits,32122462.0,1.9146479,59.91446,0.014627553522586823,3589.7424
iLocater_lab_20260406_0002_hxrgproc.fits,12283733.0,0.73216754,50.96781,0.012443313375115395,2597.7178
iLocater_lab_20260407_0001_hxrgproc.fits,11933730.0,0.71130574,16.168537,0.0039473967626690865,261.4216
iLocater_lab_20260407_0002_hxrgproc.fits,4426447.0,0.2638368,5.000388,0.0012207978870719671,25.003881
iLocater_lab_20260409_0001_hxrgproc.fits,2196821.5,0.13094077,1.6520102,0.0004033228033222258,2.7291377
iLocater_lab_20260409_0002_hxrgproc.fits,915289.0,0.054555476,0.67136526,0.000163907534442842,0.4507313
iLocater_lab_20260410_0001_hxrgproc.fits,2056714.0,0.12258971,1.061124,0.0002590634685475379,1.1259841
iLocater_lab_20260410_0002_hxrgproc.fits,725425.3,0.043238718,0.35100007,8.569337660446763e-05,0.12320105
iLocater_lab_20260411_0001_hxrgproc.fits,1704677.9,0.10160672,0.86450297,0.00021106029453221709,0.74736536
iLocater_lab_20260411_0002_hxrgproc.fits,614612.75,0.036633775,0.29296684,7.152510806918144e-05,0.08582957
iLocater_lab_20260412_0001_hxrgproc.fits,1449400.1,0.08639098,0.7857341,0.00019182961841579527,0.6173781
iLocater_lab_20260412_0002_hxrgproc.fits,583586.3,0.034784455,0.28351057,6.921644671820104e-05,0.08037824
iLocater_lab_20260413_0001_hxrgproc.fits,1625542.1,0.09688986,0.74991584,0.00018308492144569755,0.56237376
iLocater_lab_20260413_0002_hxrgproc.fits,525946.3,0.031348843,0.2752116,6.719033262925223e-05,0.075741425
iLocater_lab_20260414_0001_hxrgproc.fits,1464308.5,0.08727959,0.7122741,0.0001738950377330184,0.50733435
iLocater_lab_20260414_0002_hxrgproc.fits,521911.47,0.031108348,0.27471858,6.706996646244079e-05,0.0754703
iLocater_lab_20260415_0001_hxrgproc.fits,2017493.9,0.120252006,0.7160178,0.0001748090289765969,0.5126815
iLocater_lab_20260415_0002_hxrgproc.fits,509418.97,0.030363737,0.26783913,6.539041351061314e-05,0.0717378
