Amp #,Total Readout,Total Readout Uncertainty,Mean Readout (Per Pixel),Standard Deviation (Per Pixel),Standard Error in the Pixel Mean,Variance (Per Pixel)
1,253243.7,3412.1997058669313,0.48302403,4.7124796,0.006508254443868506,22.207464
2,266077.75,4251.347975163593,0.50750303,5.8714004,0.00810880274803847,34.473343
3,293802.06,9989.280925007171,0.56038296,13.795876,0.019053041315092414,190.32619
4,413308.5,75709.34853738392,0.7883234,104.55975,0.14440412242390427,10932.742
5,314648.38,5276.667654364356,0.60014415,7.2874365,0.010064444836357796,53.10673
6,452973.25,96080.57562182592,0.8639779,132.6938,0.18325915455212768,17607.645
7,312820.84,3962.5594199747097,0.5966584,5.4725637,0.007557982292127056,29.948954
8,416842.12,77633.58496277472,0.79506326,107.217255,0.14807431213908143,11495.54
9,366874.38,8477.386499405264,0.69975734,11.707847,0.016169331549463775,137.07367
10,381254.22,4673.151326087672,0.7271847,6.4539394,0.008913328792739242,41.653336
11,388294.94,5129.159586483717,0.7406138,7.083718,0.009783095524756846,50.179058
12,376329.9,4698.8744068552305,0.71779233,6.4894648,0.00896239167567297,42.11315
13,386392.22,4520.7642904702425,0.73698467,6.2434826,0.008622673588695989,38.981075
14,427835.53,4882.064436361115,0.8160315,6.7424626,0.009311798927995902,45.460804
15,425310.12,4996.529072900603,0.8112147,6.900546,0.009530122896004873,47.617535
16,417192.12,4807.253367552338,0.7957308,6.6391435,0.009169108138184239,44.078224
17,397165.5,5083.379946673616,0.7575331,7.020493,0.009695777791354401,49.287323
18,397605.56,10217.043886217569,0.7583724,14.110432,0.01948746468776239,199.10428
19,410579.62,8648.779101368978,0.7831185,11.944551,0.016496236994493443,142.6723
20,483510.0,58382.19957313483,0.92222214,80.62978,0.11135520853640524,6501.162
21,454914.38,47177.59544077846,0.8676803,65.155464,0.08998412216335003,4245.2344
22,490727.62,46603.46892862881,0.93598866,64.36256,0.08888906274533999,4142.5386
23,392819.47,5527.429194579448,0.7492437,7.633755,0.010542734517249009,58.27422
24,406450.22,14493.817667276357,0.77524227,20.016947,0.027644763311913217,400.67816
25,377262.88,7853.350954328815,0.7195718,10.846011,0.014979078205735807,117.635956
26,366339.2,6281.260611308571,0.69873655,8.674848,0.011980553839318411,75.25298
27,341799.25,4943.887597070335,0.65193033,6.8278446,0.009429717249050779,46.61946
28,326711.2,4145.433530191149,0.62315214,5.7251253,0.007906786976225183,32.77706
29,312394.75,5805.3059320375605,0.5958457,8.017522,0.011072742332530137,64.280655
30,346045.06,54107.783275035974,0.6600286,74.726524,0.10320240645415492,5584.053
31,519183.12,103597.91620096775,0.9902632,143.07576,0.1975973438281398,20470.674
32,361575.56,9799.995206916401,0.68965065,13.534459,0.01869200745948105,183.18158
